Importance Ranking,Dataset,Information Included,Format,Pollutant Linkage,Risk Assessment Stage,Data Owner,Source,Link,Date Created,Updated,Licence,Confidentiality,Automated Processing,Note,Geographic Coverage,
1,Pollution Controls and Prevention,Pollution controls/permits relating to air pollution controls (APC); integrated pollution control (IPC); integrated pollution prevention controls (IPPC); petrol filling stations (PFS); control of major accident hazards (COMAH); radioactive licences,PDF; GIS,Source,Tier 1,Environment Agency; Local councils (Environmental Health Department),Envirocheck; Groundsure,https://data.gov.uk/dataset/b55e94b0-82f8-481b-b467-3fa1584b3420/local-authority-pollution-prevention-control/datafile/531122c0-6ccd-4884-9ef8-ec554e621888/preview,2008-2014,Annualy,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,Semi,Data publically available only from some of the councils,England,
2,"Nearest Surface Water Feature, River network lines",Distance to the nearest surface water feature,PDF; GIS,Receptor,Tier 1,Ordnance Survey,Envirocheck,NA,2012,Quarterly; Annualy,As per Envirocheck report,None,YES,,England,
1,Surface water bodies,Rivers; drainage; ponds etc.,PDF; GIS,Pathway; Receptor,Tier 1,Environment Agency,Groundsure,NA,Unknown,Unknown,As per Groundsure report,None,YES,,England,
1,OS Open Rivers,OS Open Rivers maps over 144000 km of watercourses. Freshwater rivers; tidal estuaries and canals.,PDF; GIS,Pathway; Receptor,Tier 1,Ordnance Survey,Ordnance Survey website,https://www.ordnancesurvey.co.uk/business-government/products/open-map-rivers,2018,Bi-annualy (April and October),Open Data; https://www.ordnancesurvey.co.uk/business-government/products/open-map-rivers,None,YES,,England,
1,Statutory Main River Map,Statutory Main Rivers Map is a spatial (polyline) dataset that defines statutory watercourses in England designated as Main Rivers by Environment Agency.,GIS/WMS,Pathway; Receptor,Tier 1,Environment Agency,data.gov.uk,https://data.gov.uk/dataset/4ae8ba46-f9a4-47d0-8d93-0f93eb494540/statutory-main-river-map,2005,Bi-annualy,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,England,
1,CEH digital river network of Great Britain,This is a view service of the CEH 1:50k rivers dataset. This is a river centreline network based originally on OS 1:50000 mapping. Rivers; canals; surface pipes (man-made channels such as aqueducts and leats) and miscellaneous channels (including estuary and lake centre-lines and some underground channels).,GIS/WMS,Pathway; Receptor,Tier 1,Environmental Information Data Centre,data.gov.uk,data.gov.uk/dataset/3c7ea82e-83e0-45a3-9a3f-8ba653b3211b/ceh-digital-river-network-of-great-britain-web-map-service,2000,Not reported,Not reported,None,YES,,England,
1,Pollution Incidents,The dataset only includes substantiated incidents and their environmental impact.,PDF; GIS; MS Access,Source,Tier 1,Environment Agency,Envirocheck; Groundsure,NA,2000,NA,As per Groundsure/Envirocheck report,None,YES,"Data previously available on data.gov.uk. The website states: ""PLEASE NOTE: We have removed this dataset as ownership of the data within it no longer sits with a single organisation. The Environment Agency is currently working on a revised version of this dataset that covers incidents falling within the remit of the Environment Agency.""",England,
1,Water Quality,The Water Quality Archive provides data on water quality measurements. Samples are taken at sampling points around England and can be from coastal or estuarine waters; rivers; lakes; ponds; canals or groundwaters.,CSV,Source; Receptor,Tier 2,Environment Agency,Envirocheck; environment.data.gov.uk,https://environment.data.gov.uk/water-quality/view/landing,2001,Within two working days of a new sample being added,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,England,
1,Catchment Information,River and Groundwater Catchments -  information about the water environment. It supports and builds upon the data in the river basin management plans.,GeoJSON; GIS; CSV; Online map,Pathway; Receptor,Tier 1,Environment Agency,environment.data.gov.uk,https://environment.data.gov.uk/catchment-planning/,2013,Annualy,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,"API information available, some data available only up to  2016",England,
1,Water Abstractions,Licenced groundwater and surface water abstractions (> 20 m3/day),PDF; GIS; possibly CSV,Pathway; Receptor,Tier 1,Environment Agency,Envirocheck; Groundsure; enquiries@environment-agency.gov.uk,NA,2014,Quarterly,Available upon request,Yes,NO,,England,
1,Private Water Abstractions,Non-licenced groundwater and surface water abstractions (< 20 m3/day),Possibly CSV,Pathway (less than licensed abstractions); Receptor,Tier 2,Local councils,Local councils,NA,Unknown,Unknown,Available upon request,Yes,NO,"Private Water Supplies Regulations 2009, additional information to be potentially added during case study stage",England,
1,Groundwater Vulnerability,Unproductive; low; medium and high groundwater vulnerability. The importance of the groundwater resource is reflected in the aquifer designation status derived from the BGS's aquifer designation maps. Additional information includes soluble rock risk (areas where solution features that enable rapid movement of a pollutant may be present) and local information (areas where additional information that contributes to the understanding of groundwater vulnerability is held locally by the EA).,PDF; GIS; Online map,Pathway; Receptor,Tier 1,Environment Agency; British Geological Survey,Envirocheck; Groundsure; MAGIC maps; BGS website (by request),https://magic.defra.gov.uk/MagicMap.aspx; https://www.bgs.ac.uk/products/hydrogeology/GroundwaterVulnerability.html,2011,Quarterly,Free for non-commercial reseearch and academic use; https://www.bgs.ac.uk/products/hydrogeology/GroundwaterVulnerability.html,None,YES,,England; Wales,
1,Aquifer Designations,Bedrock and superficial aquifer designations (Principal; Secondary A; Seconday B; Secondary (undiffirentiated); Unproductive),PDF; GIS; Online map,Pathway; Receptor,Tier 1,Environment Agency; British Geological Survey,Envirocheck; Groundsure; MAGIC maps; BGS website (by request),https://magic.defra.gov.uk/MagicMap.aspx; https://www.bgs.ac.uk/products/hydrogeology/GroundwaterVulnerability.html,2012,Annualy,Environment Agency,None,YES,More information on licensing is needed,England; Wales,
1,Source Protection Zones,Protection zones for abstraction for drinking water; possibility to approximately locate the abstraction itself,PDF; GIS/WMS,Receptor,Tier 1,Environment Agency,Envirocheck; data.gov.uk,https://data.gov.uk/dataset/09889a48-0439-4bbe-8f2a-87bba26fbbf5/source-protection-zones-merged,2014,Quarterly,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,,
1,Landfill sites,Historical/registered landfill sites,PDF; GIS/WMS,Source,Tier 1,Environment Agency,Envirocheck; Groundsure; data.gov.uk,https://data.gov.uk/dataset/17edf94f-6de3-4034-b66b-004ebd0dd010/historic-landfill-sites; https://data.gov.uk/dataset/ad695596-d71d-4cbb-8e32-99108371c0ee/permitted-waste-sites-authorised-landfill-site-boundaries,2014,Quarterly,Environment Agency Conditional Licence; https://www.gov.uk/government/publications/environment-agency-conditional-licence/environment-agency-conditional-licence,None,YES,,England,
1,Local Authority Recorded Landfill Sites,Local Authority Recorded Landfill Sites,PDF; GIS,Source,Tier 1,Local councils (Environmental Health Department),Envirocheck; Groundsure; Local councils,NA,2000,NA,Unknown,None,YES,Can potentially include landfill sites recorded by local authorities (http://apps.environment-agency.gov.uk/wiyby/37829.aspx),England,
1,Waste sites,Waste treatment; transfer and disposal sites; licensed waste management sites,PDF; GIS,Source,Tier 1,Environment Agency,Envirocheck; Groundsure,NA,2003; 2014,NA; Quarterly,Unknown,None,YES,,England,
1,Coal Mining,Coal mining reporting areas; mine entries; abandoned mines; development high risk areas; surface coal resource areas; mine entry potential zone of influence; fissures and breaklines; surface mining (past and current); past shallow coal mine workings; probable shallow coal mine workings; coal outcrops; NE mining & groundwater constraints,PDF; GIS/WMS; Online map,Source; Pathway,Tier 1,The Coal Authority,Coal Authority (website); www.gov.uk,https://mapapps2.bgs.ac.uk/coalauthority/home.html; https://www.gov.uk/guidance/using-coal-mining-information#web-mapping-services,2014,As notified,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,Possibly,Coal mining report can be requested from Coal Authority in case there is high risk to the development; WMS data provided as a raster; Also provides information on geotechnical hazards,England; Wales; Scotland,
1,Coal Mining,Coal mining affected areas,PDF; GIS,Source,Tier 1,The Coal Authority,Envirocheck; Groundsure,NA,2013,As notified,Unknown,None,YES,Also provides information on geotechnical hazards,England,
1,Coal Mining,Coal mining report: Past underground coal mining; Present underground coal mining; Future underground coal mining; Mine entries;  Coal mining geology; Past opencast coal mining; Present opencast coal mining; Future opencast coal mining; Coal mining subsidence; Mine gas; Hazards related to coal mining; Withdrawal of support; Working facilities order; Payments to owners of former copyhold land,PDF,Source,Tier 1,The Coal Authority,The Coal Authority; Envirocheck website request,NA,Unknown,Unknown,Not open,None,NO,Requested when coal mining risk identified; Also provides information on geotechnical hazards,England,
1,Other Mining,Recorded mineral sites; non-coal mining areas; brine compensation area,PDF; GIS,Source,Tier 1,British Geological Survey; Cheshire Brine Subsidence Compensation Board,Envirocheck; Groundsure,NA,2014; 2011,Bi-annualy; NA,Unknown,None,YES,,England,
1,Radon Potential - Indicative,Radon affected areas and required radon protection measures - data is averaged over 1 km2 (indicative dataset),GIS/WMS; Online map,Source,Tier 1,British Geological Survey; Public Health England,Online,https://www.bgs.ac.uk/data/services/radon1kmwms.html; https://www.ukradon.org/information/ukmaps,Unknown,Unknown,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,England; Wales; Scotland; Northern Ireland,
,Radon Report,Estimated probability that an address is above the Action Level for radon; Suitable for any home or small workplace under 25 metres in length,PDF,Source,Tier 1,Public Health England,Online,https://www.ukradon.org/services/address_search,Unknown,Unknown,Not open,None,NO,Requested when Radon Potential - Indicative shows the property is in an area with increased radon risk; Not suitable for buildings over 25 meters in length and for site redevelopment,England; Wales; Scotland; Northern Ireland,
,Radon Potential - Definitive,Radon affected areas and required radon protection measures - accurate to 50 m (definitive dataset),PDF; GIS,Source,Tier 1,British Geological Survey; Public Health England,Envirocheck; Groundsure; British Geological Survey,https://www.bgs.ac.uk/radon/hpa-bgs.html,2011,Annualy,Not open,None,YES,,England,
,Radon GeoReport,"This is an advisory report on the requirement for radon protective measures in new buildings; conversions and extensions to existing buildings. The report also indicates whether a site is located within a radon affected area. This report is based on the joint BGS - Public Health England (PHE) radon potential data and complies with ""BR211 Radon: Guidance on protective measures for new buildings (2015 edition)""",PDF,Source,Tier 1,British Geological Survey; Public Health England,Online,https://shop.bgs.ac.uk/Shop/Department/GeoReports,Unknown,Unknown,Not open,None,NO,"Recommended for buildings over 25 meters in length, groups of buildings and for site redevelopment",England; Wales; Scotland,
2,Green Belt,Areas of Adopted Green Belt; Areas of Unadopted Green Belt,PDF; GIS/WMS,Receptor,Tier 1,Local councils,Envirocheck; Groundsure; Online,https://data.gov.uk/dataset/8c03fc9e-5ecc-414e-af9c-770aa64b811b/green-belt#licence-info,2014,Various,Public Sector End User Licence - INSPIRE,None,YES,Each council reports the data differently,England,
1,Sensitive Land Use/Site Designations,Areas of Outstanding Natural Beauty; Environmentally Sensitive Areas; Local Nature Reserves; Conservations Zones; National Parks; Ramsar Sites; Sites of Special Scientific Interest; Special Protection Areas and other,PDF; GIS/WMS; Online maps,Receptor,Tier 1,Natural England; Forestry Commission,Envirocheck; Groundsure; MAGIC,https://magic.defra.gov.uk/MagicMap.aspx; https://data.gov.uk/dataset/8e3ae3b9-a827-47f1-b025-f08527a4e84e/areas-of-outstanding-natural-beauty-england; https://data.gov.uk/dataset/a5b0ccc4-a144-4027-91fa-49084ff07da2/environmentally-sensitive-areas-england; https://data.gov.uk/dataset/acdf4a9e-a115-41fb-bbe9-603c819aa7f7/local-nature-reserves-england; https://data.gov.uk/dataset/80c075c3-1880-44a0-bffc-69e20f307c21/marine-conservation-zones-england; https://data.gov.uk/dataset/334e1b27-e193-4ef5-b14e-696b58bb7e95/national-parks-england; https://data.gov.uk/dataset/67b4ef48-d0b2-4b6f-b659-4efa33469889/ramsar-england; https://data.gov.uk/dataset/5b632bd7-9838-4ef2-9101-ea9384421b0d/sites-of-special-scientific-interest-england; https://data.gov.uk/dataset/174f4e23-acb6-4305-9365-1e33c8d0e455/special-protection-areas-england,2013 - 2014,bi-annually; annually,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,England,
2,Nitrate sensitive areas,In these areas incentives were offered to farmers to undertake significant changes in agricultural practices to reduce nitrate leaching; thereby helping stabalise or reduce nitrate levels.,PDF; GIS,Pathway,Tier 1,DEFRA; Natural England,Envirocheck; Groundsure,https://data.gov.uk/dataset/bd215b81-8f81-4499-9ee9-5a9b34ff28d2/nitrate-sensitive-areas; https://naturalengland-defra.opendata.arcgis.com/datasets/nitrate-sensitive-areas-england?geometry=-22.320%2C49.964%2C19.494%2C54.660,Unknown,Unknown,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,England,
2,Nitrate vulnerable zones,Nitrate Vulnerable Zones (NVZs) are areas designated as being at risk from agricultural nitrate pollution. They include about 55% of land in England.,PDF; GIS/WMS; Online maps,Pathway,Tier 1,DEFRA,Envirocheck; Groundsure,https://data.gov.uk/dataset/e156a108-f8c2-498e-aa3f-11ff78f40eee/nitrate-vulnerable-zones-nvz-2017-combined-final-designations; https://magic.defra.gov.uk/MagicMap.aspx,2017,Every four years,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,YES,,England,
1,Site investigation data,Site location; borehole construction details; geology; groundwater strikes; groundwater and gas monitoring; concentrations of chemicals in soil; leachate; groundwater and surface water; pump/slug testing; walkover information; topography etc.,AGS; PDF; Excel; CSV; GIS; CAD files; Photos,Source; Pathway; Receptor,Tier 1; Tier 2,Client/site owner,Site investigation; Contractors/consultants,NA,Various,NA,Not open,Yes,YES,"AGS data contain borehole construction details, geology, groundwater strikes, groundwater and gas monitoring, concentrations of chemicals in soil, leachate, groundwater and surface water, pump testing",Site-specific,
1,Current Land Uses,Contamporary trade directories; railways and stations; electricity substations; works; petrol and fuel stations; vehicle repair; testing and servicing etc.,PDF; GIS,Source,Tier 1,Thomson Directories (Envirocheck); Catalist Ltd - Experian (Envirocheck),Envirocheck; Groundsure,NA,2014; Unknown,Quarterly; Unknown,Not open,None,YES,Data owner for Groundsure data not identified,England,
1,Current Land Uses,Railways and stations; electricity substations; works; petrol and fuel stations; vehicle repair; testing and servicing etc.,Maps,Source,Tier 1,Google; Bing; Ordnance Survey,Online,https://www.google.com/maps/; https://www.bing.com/maps; ,Unknown,Various,Not open,None,NO,,England; Wales; Scotland; Northern Ireland,
1,Current Land Uses,Railways and stations; works; petrol and fuel stations etc.,Maps,Source,Tier 1,Ordnance Survey,Online,https://www.ordnancesurvey.co.uk/opendatadownload/products.html,Unknown,Unknown,Open Government Licence; http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,None,NO,,England; Wales; Scotland,
1,Unexploded bomb risk/ordnance - preliminary assessment,High level assessment of regional WWII bombing densities - potential for unexploded bomb (UXB) to be present as a result of WWII bombing. Low/moderate/high risk area,Online map; PDF report,Source,Tier 1,Zetica UXO,Zetica website,https://zeticauxo.com/downloads-and-resources/risk-maps/,Unknown,Unknown,Freely available data,None,NO,"Preliminary risk assessment for potential unexploded ordnance (UXO), indicates whether detailed resarch by UXO specialist is required.",England; Wales; Scotland; Northern Ireland,
1,Unexploded bomb risk/ordnance,Probability of UXO encounter; High Explosive Bomb Density; Threat Sources (e.g. airfields; ordnance manufacture/storage; WWII defensive bombing sites),PDF report,Source,Tier 1,UXO specialists,Envirocheck; UXO specialists,NA,Unknown,Unknown,Paid data,None,NO,Preliminary Unexploded Ordnance (UXO) Threat Assessment - as per requirements of CIRIA C681 Unexploded Ordnance (UXO) – 'A guide for the Construction Industry’ Risk Management Framework,England,
1,Human health generic assessment criteria,Soil Guideline Values & Category 4Screening Levels for assessing risk to human health receptors based on proposed site end-use,PDF,Source; Pathway; Receptor,Tier 2,Environment Agency; CL:AIRE,CL:AIRE website,https://www.claire.co.uk/information-centre/water-and-land-library-wall/44-risk-assessment/178-soil-guideline-values?showall=&start=1; https://www.claire.co.uk/projects-and-initiatives/category-4-screening-levels,2009; 2014,NA,Freely available data,None,NO,,England; Wales; Scotland,
1,Human health generic assessment criteria,Atkins has developed ATRISKsoil Soil Screening Values (SSVs) and ATRISKsoil Water Screening Values (WSVs) applicable to the UK for use in assessing chronic human health exposure to commonly encountered contaminants.,PDF,Source; Pathway; Receptor,Tier 2,Atkins,Atkins ATRISK website,http://www.atrisksoil.co.uk/,2010?,Depending on guidance update,Paid data,None,NO,Atkins paid for service,England; Wales; Scotland,
1,Controlled waters generic assessment criteria,Screening values for controlled waters assessment: Environmental Quality Standards for surface waters and coastal waters; Drinking Water Standards (England and Wales); Resource Protection Values (Scotland); Site-specific PNEC (predicted no effect concentration),PDF,Source; Receptor,Tier 2,UK Government; Scottish Environment Protection Agency,www.legislation.gov.uk; www.sepa.org.uk,https://www.legislation.gov.uk/uksi/2015/1623/pdfs/uksiod_20151623_en_003.pdf; https://www.sepa.org.uk/media/152957/wat-sg-53-environmental-quality-standards-for-discharges-to-surface-waters.pdf; http://www.legislation.gov.uk/uksi/2016/614/pdfs/uksi_20160614_en.pdf; https://www.sepa.org.uk/media/152662/wat_ps_10.pdf,2015; 2019; 20116; 2014,Depending on guidance update,Freely available data,None,NO,,England; Wales; Scotland,
1,Predicted no-effect concentration,Site-specific assessment criteria for metals (copper; lead; nickel; manganese; zinc) based on their bioavailability,Excel,Source; Receptor,Tier 2; Tier 3,Water Framework Directive – United Kingdom Technical Advisory Group,https://www.wfduk.org/sites/default/files/Media/Environmental%20standards/m-BAT%20tool%2020150206%20with%20test%20data.xlsm,https://www.wfduk.org/sites/default/files/Media/Environmental%20standards/MBAT%20UKTAG%20Method%20Statement.pdf,2014,NA,Freely available data,None,NO,Data from surface water receptor (pH; dissolved organic carbon and calcium) required as inputs,England,
1,Site-specific assessment criteria,Site-specific assessment criteria based on modelling outputs of Tier 3 risk assessment,Variable,Source; Receptor,Tier 3,Client/site owner,Consultants,NA,Various,Various,NA,Yes,NO,,England; Wales; Scotland; Northern Ireland,
1,Additional screening values,Can be used when UK guidance doesn't provide a screening value for particular determinand. Potentially needs to be discussed with the regulator (Environment Agency; Natural resources Wales or SEPA).,PDF; online,Source; Receptor,Tier 2,Various,Various,https://oehha.ca.gov/water/public-health-goals-phgs (example),Various,Depending on guidance update,Freely available data,None,NO,Only one example is included here,Different countries in the world,
1,Department of Environment (DoE) Industry Profiles,Information on the processes; materials and waste associated with individual industries with regard to land contamination,PDF,Source,Tier 1,Department of Environment,CL:AIRE website,https://www.claire.co.uk/useful-government-legislation-and-guidance-by-country/198-doe-industry-profiles,1995,NA,Freely available data,None,NO,,England; Wales; Scotland; Northern Ireland,
1,Modelling outputs,For human health (e.g. CLEA model) and controlled waters assessment (e.g. ConSim model).,Other data formats (e.g. ConSim model outputs); Excel; PDF,Source; Pathway; Receptor,Tier 3,Client/site owner,Reports produced by environmental consultants,NA,Various,Various,NA,Yes,NO,,,
1,Conceptual Models,Data interpretation and identification of relevant pollutant linkages and contaminants of concern,PDF,Source; Pathway; Receptor,Tier 1; Tier 2; Tier 3,Client/site owner,Reports produced by environmental consultants,NA,Various,Various,NA,None wihtin planning process,NO,Typically prepared as a table or a figure,England; Wales; Scotland,
1,Anecdotal Evidence,Can include for example positions of tanks on site; description of ways how people used to dispose of chemicals on site etc.,Word of mouth,Source,Tier 1,NA,Site occupants (former and curernt),NA,Various,NA,NA,Yes,NO,,England; Wales; Scotland,
2,Pre-planning information,Desk study (Tier 1) and ground investigation interpretative (Tier 2) can be submitted as part of the pre-plannign application process,PDF; Scanned documents,Source; Pathway; Receptor,Tier 1,Local councils,None,NA,Various,NA,NA,Yes,NO,,England,
1,Planning Information,Desk study (Tier 1) and ground investigation interpretative (Tier 2) and other reports (e.g. coal mining report) are submitted as part of planning process; i.e. planning application and/or as part of diacharge of planning conditions. These reports can include all datasets listed above or only parts of those datasets.,PDF; Scanned documents,Source; Pathway; Receptor,Tier 1,Local councils,Planning portal,https://www.london.gov.uk/what-we-do/planning/planning-applications-and-decisions/planning-application-search/land-haringey-heartlands; https://eplanning.northlanarkshire.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PXLQ6VBAIKO00,Various,Regularly,Freely available data,None,NO,The information available on the planning portal changes as projects progress through various stages of planning. Desk study reports and ground investigation interpretative reports can be available for limited amount of time. Each local council has a different planning portal layout.,England,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
